Herat,+93-40
Jalalabad,+93-60
Kabul,+93-20
Kandahar,+93-30
Mazar-E-Sherif,+93-50
Mobile Phones,+93-70
Babicë,+355-394
Bajram Curri,+355-213
Bajzë,+355-211
Ballsh,+355-313
Berat,+355-32
Bilisht,+355-811
Bulqizë,+355-219
Burrel,+355-217
Cakran,+355-387
Çërrik,+355-581
Çorovodë,+355-312
Delvinë,+355-815
Divjakë,+355-371
Durrës,+355-52
Elbasan,+355-545
Ersekë,+355-812
Fier,+355-34
Fushë-Krujë,+355-563
Gjirokastër,+355-84
Gramsh,+355-513
Himarë,+355-393
Kavajë,+355-554
Koplik,+355-211
Korçë,+355-82
Krujë,+355-511
Krumë,+355-214
Ksamil,+355-893
Kuçovë,+355-311
Kukës,+355-242
Laç,+355-53
Levan,+355-388
Lezhë,+355-215
Libohovë,+355-881
Librazhd,+355-514
Lushnjë,+355-35
Maliq,+355-861
Mamurras,+355-561
Memaliaj,+355-885
Mobile,+355-68
Orikum,+355-391
Patos,+355-342
Peqin,+355-512
Përmet,+355-813
Përrenjas,+355-591
Peshkopi,+355-218
Pogradec,+355-832
Poliçan,+355-368
Pukë,+355-212
Rrëshen,+355-216
Rrogozhinë,+355-577
Sarandë,+355-852
Selenicë,+355-392
Shijak,+355-571
Shkodër,+355-22
Tepelenë,+355-814
Tiranë,+355-4
Tropojë,+355-213
Ura Vajgurore,+355-361
Vlorë,+355-33
Vodafone,+355-69
Adrar,+213-49
Ain Defla,+213-27
Ain Temouchent,+213-43
Alger,+213-21
Annaba,+213-38
Batna,+213-33
Bechar,+213-49
Bejaia,+213-34
Biskra,+213-33
Blida,+213-25
Bordj Bou Arreridj,+213-35
Bouira,+213-26
Boumerdes,+213-24
Chlef,+213-27
Constantine,+213-31
Djelfa,+213-27
El Bayadh,+213-49
El Oued,+213-32
El Tarf,+213-38
Ghardaia,+213-29
Guelma,+213-37
Illizi,+213-29
Jijel,+213-34
Khenchela,+213-32
Laghouat,+213-29
M’sila,+213-35
Mascara,+213-45
Medea,+213-25
Mila,+213-31
Mobile Phones,+213-61
Mostaganem,+213-45
Naama,+213-49
Oran,+213-41
Ouargla,+213-29
Oum El Bouaghi,+213-32
Relizane,+213-46
Saida,+213-48
Setif,+213-36
Sidi Bel Abbes,+213-48
Skikda,+213-38
Souk Ahras,+213-37
Tamenrasset,+213-29
Tebessa,+213-37
Tiaret,+213-46
Tindouf,+213-49
Tipaza,+213-24
Tissemsilt,+213-46
Tizi Ouzou,+213-26
Tlemcen,+213-43
,American Samoa does not use city codes.
Andorra la Vella,+376-7+376-8
Canilo,+376-7+376-8
Encamp,+376-7+376-8
La Massana,+376-7+376-8
Mobile Phones,+376-3
Ordino,+376-7+376-8
Sant Julia de Loria,+376-7+376-8
Baia Farta,+244-72
Bela Vista,+244-72
Benguela,+244-72
Cabinda,+244-31
Catete,+244-34
Catumbela,+244-72
Caxito,+244-34
Cubal,+244-72
Cunene,+244-65
Dombe Grande,+244-72
Ganda,+244-72
Huambo,+244-41
Huila,+244-61
Kuito,+244-48
Lobito,+244-72
Luanda,+244-2
Lubango,+244-61
Lucapa,+244-52
Luena,+244-54
Malange,+244-51
Menongue,+244-49
Mobile Phones - Angola Telecom,+244-91
Mobile Phones - Unitel,+244-92
Namibe,+244-64
Ndalatando,+244-35
Ondjiva,+244-65
Saurimo,+244-53
Sumbe,+244-36
Tombwa,+244-64
Uíge,+244-33
Xangongo,+244-65
,Anguilla does not use city codes.
Casey Base,+672-12
Davis Base,+672-10
Macquarie Base,+672-13
Mawson Base,+672-11
,Antigua and Barbuda do not use city codes.
Bahia Blanca,+54-291
Buenos Aires,+54-11
Catamarca,+54-3833
Comodoro Rivadavia,+54-297
Concordia,+54-345
Cordoba,+54-351
Corrientes,+54-3783
Formosa,+54-3717
Jesus Maria,+54-3525
La Plata,+54-221
La Rioja,+54-3822
Mar del Plata,+54-223
Mendoza,+54-261
Mercedes/Prov. B.A.,+54-2324
Neuquen,+54-299
Parana,+54-343
Posadas,+54-3752
Resistencia,+54-3722
Rio Cuarto,+54-358
Rosario,+54-341
Salta,+54-387
San Juan,+54-264
San Luis,+54-2652
San Nicolas,+54-3461
San Rafael,+54-2627
Santa Fe,+54-342
Santiago del Estero,+54-385
Santo Tome,+54-3756
Tandil,+54-2293
Trelew,+54-2965
Tucumán,+54-381
Villa Maria,+54-531
Abovian,+374-22
Akhurian,+374-43
Alapars,+374-23
Alaverdi,+374-53
Amasia,+374-46
Aparan,+374-52
Arapi,+374-43
Ararat,+374-38
Argel,+374-24
Armavir,+374-37
Artashat,+374-35
Artik,+374-44
Ashotsk,+374-45
Ashtarak,+374-32
Baghramian,+374-33
Bjni,+374-23
Chambarak,+374-65
Charentsavan,+374-26
Dalarik,+374-33
Dzoraget,+374-51
Echmiadzin,+374-31
Eghegnut,+374-51
Eghvard,+374-24
Gavar,+374-64
Goris,+374-84
Gyumri,+374-41
Hoktember,+374-37
Hrazdan,+374-23
Ijevan,+374-63
Jermuk,+374-87
Kadjaran,+374-85
Kamo,+374-43
Kapan,+374-85
Karakerd,+374-33
Khndzoresk,+374-84
Koghb,+374-66
Lermontov,+374-51
Maralik,+374-42
Margahovit,+374-51
Martuni,+374-62
Masis,+374-36
Meghradzor,+374-23
Meghri,+374-86
Metsamor,+374-37
Miasnikian,+374-33
Mobile,+374-9
Nor Gekhi,+374-24
Nor Hajn,+374-24
Noyemberian,+374-66
Pambak,+374-51
Pernzashen,+374-44
Piunik,+374-23
Proshyan,+374-24
Ptghni,+374-22
Sarnakhpyur,+374-42
Sarukhan,+374-64
Sevan,+374-61
Shirakavan,+374-42
Sisian,+374-83
Solak,+374-23
Spitak,+374-55
Stepanavan,+374-56
Talin,+374-49
Tashir,+374-54
Tsaghkahovit,+374-57
Tsakhkadzor,+374-23
Vahagni,+374-51
Vanadzor,+374-51
Vardenis,+374-69
Vayk,+374-82
Vedi,+374-34
Verishen,+374-84
Yeghegnadzor,+374-81
Yerevan,+374-10
Zovuni,+374-24
Zvartnots,+374-31
,Aruba does not use city codes.
Casey,+61-12
Central East Region,+61-2
Central West Region,+61-8
Davis,+61-10
Macquarie Island,+61-13
Mawson,+61-11
